R10,12.23,99.03,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,111.55,48.75,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,156.12,6.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,83.56,66.94,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,106.25,40.54,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,65.73,11.51,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,157.48,6.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.58,46.33,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,152.56,47.77,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,115.66,46.05,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,89.11,63.79,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,68.71,9.53,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,70.49,13.91,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,31.21,47.21,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,44.53,33.41,92.20,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,42.45,33.61,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,38.57,33.41,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,70.89,31.31,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.90,108.49,180.40,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.27,107.67,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.95,55.04,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.62,107.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.96,31.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.19,107.69,269.80,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,154.46,10.42,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.86,9.29,0.00,,SJ
TP1,10.51,67.29,0.00,TPTP20R,TP20R
TP10,104.28,15.51,0.00,TPTP20R,TP20R
TP11,100.19,19.39,0.00,TPTP20R,TP20R
TP12,99.83,15.81,0.00,TPTP20R,TP20R
TP13,94.86,15.83,0.00,TPTP20R,TP20R
TP14,135.63,50.31,0.00,TPTP20R,TP20R
TP15,78.68,70.51,0.00,TPTP20R,TP20R
TP16,9.43,41.31,0.00,TPTP20R,TP20R
TP17,95.62,19.47,0.00,TPTP20R,TP20R
TP2,14.23,67.49,0.00,TPTP20R,TP20R
TP3,131.25,50.56,0.00,TPTP20R,TP20R
TP4,131.37,54.49,0.00,TPTP20R,TP20R
TP5,135.89,54.39,0.00,TPTP20R,TP20R
TP6,16.11,77.59,0.00,TPTP20R,TP20R
TP7,11.03,77.59,0.00,TPTP20R,TP20R
TP8,5.95,77.59,0.00,TPTP20R,TP20R
TP9,104.67,19.19,0.00,TPTP20R,TP20R
U1,36.89,54.16,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.20,54.00,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,79.90,59.90,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,126.58,50.72,0.00,MAX17048G+T10,SON50P200X200X80-9N
